Model,Accuracy,Precision,Recall,F1-Score
TfidfVectorizer,0.8736111111111111,0.8766428871499835,0.8736111111111111,0.870079715777345
Word2Vec,0.68,0.6852892894799237,0.68,0.6599793733950902
